,path,latency,noise,snr
359,B ->D ->C ,0.004002769142377825,0.0008,30.969100130080562
360,B ,0.004002769142377825,0.0008,30.969100130080562
361,B ->D ,0.004002769142377825,0.0008,30.969100130080562
362,B ->D ->E ,0.004002769142377825,0.0008,30.969100130080562
363,B ->D ->E ->C ,0.004002769142377825,0.0008,30.969100130080562
364,B ,0.009506576713147334,0.0019000000000000002,27.21246399047171
365,B ->D ,0.009506576713147334,0.0019000000000000002,27.21246399047171
366,B ->D ->F ,0.009506576713147334,0.0019000000000000002,27.21246399047171
367,B ->D ->F ->E ,0.009506576713147334,0.0019000000000000002,27.21246399047171
368,B ->D ->F ->E ->C ,0.009506576713147334,0.0019000000000000002,27.21246399047171
369,B ,0.0065044998563639645,0.0013,28.86056647693163
370,B ->F ,0.0065044998563639645,0.0013,28.86056647693163
371,B ->F ->D ,0.0065044998563639645,0.0013,28.86056647693163
372,B ->F ->D ->A ,0.0065044998563639645,0.0013,28.86056647693163
373,B ->F ->D ->A ->C ,0.0065044998563639645,0.0013,28.86056647693163
374,B ,0.0065044998563639645,0.0013,28.86056647693163
375,B ->F ,0.0065044998563639645,0.0013,28.86056647693163
376,B ->F ->D ,0.0065044998563639645,0.0013,28.86056647693163
377,B ->F ->D ->C ,0.0065044998563639645,0.0013,28.86056647693163
378,B ,0.0065044998563639645,0.0013,28.86056647693163
379,B ->F ,0.0065044998563639645,0.0013,28.86056647693163
380,B ->F ->D ,0.0065044998563639645,0.0013,28.86056647693163
381,B ->F ->D ->E ,0.0065044998563639645,0.0013,28.86056647693163
382,B ->F ->D ->E ->C ,0.0065044998563639645,0.0013,28.86056647693163
383,B ,0.0065044998563639645,0.0013,28.86056647693163
384,B ->F ,0.0065044998563639645,0.0013,28.86056647693163
385,B ->F ->E ,0.0065044998563639645,0.0013,28.86056647693163
386,B ->F ->E ->C ,0.0065044998563639645,0.0013,28.86056647693163
387,B ,0.008505884427552877,0.0017000000000000001,27.69551078621726
